================ Precision Log (Fri Apr 11 21:30:00 2025) ================
Epoch:1040  sam 1.7409789562225342,psnr 34.96868133544922,ergas 0.41285500948356246,cc 0.9874217373129759,rmse 0.013861941580908203,Ssim 0.9672394729978022,Uqi 0.9979984500746107
Epoch:1050  sam 1.7331746816635132,psnr 35.400672912597656,ergas 0.39380948321785203,cc 0.9874993641074672,rmse 0.013299073573785384,Ssim 0.967792275275298,Uqi 0.9982123705849664
Epoch:1060  sam 1.7282310724258423,psnr 35.346763610839844,ergas 0.3962266553969325,cc 0.9875361750087701,rmse 0.01334590057640647,Ssim 0.96783526625646,Uqi 0.9981844986596746
Epoch:1070  sam 1.724210262298584,psnr 35.35688018798828,ergas 0.3956500846953818,cc 0.9875871449871617,rmse 0.013330040954952964,Ssim 0.9679752382532416,Uqi 0.9981905874689203
Epoch:1080  sam 1.7194950580596924,psnr 35.40531539916992,ergas 0.39350438969561713,cc 0.9876351287157767,rmse 0.013267710018634922,Ssim 0.9681435558460668,Uqi 0.9982133350757469
Epoch:1090  sam 1.7151905298233032,psnr 35.46818161010742,ergas 0.3908775053351172,cc 0.9876849673540524,rmse 0.013184163064267854,Ssim 0.968318454440781,Uqi 0.9982431554824223
Epoch:1100  sam 1.7109965085983276,psnr 35.51067352294922,ergas 0.38910040100676374,cc 0.987736451732975,rmse 0.013127730509957697,Ssim 0.9684724109317658,Uqi 0.9982624232632744
Epoch:1110  sam 1.7066550254821777,psnr 35.538734436035156,ergas 0.3879936216315659,cc 0.9877834470176524,rmse 0.013084914021756044,Ssim 0.9686111403133792,Uqi 0.9982736399452179
Epoch:1120  sam 1.7025066614151,psnr 35.57758712768555,ergas 0.3864086545705266,cc 0.9878295503503429,rmse 0.01303240151509032,Ssim 0.968748392295757,Uqi 0.9982906203352526
Epoch:1130  sam 1.6983848810195923,psnr 35.60979080200195,ergas 0.38511202231104064,cc 0.9878768339012032,rmse 0.012986956195076131,Ssim 0.9688800381734594,Uqi 0.9983045521504489
Epoch:1140  sam 1.6943937540054321,psnr 35.64288330078125,ergas 0.3837478056071776,cc 0.9879238909111027,rmse 0.012942333053483827,Ssim 0.9690167807502477,Uqi 0.99831863314217
Epoch:1150  sam 1.690529465675354,psnr 35.67451858520508,ergas 0.38249504614049396,cc 0.9879728168817673,rmse 0.012900000256333245,Ssim 0.9691518741089608,Uqi 0.9983321537858325
Epoch:1160  sam 1.6865078210830688,psnr 35.70030212402344,ergas 0.3814363945813628,cc 0.9880215383634562,rmse 0.012865910955653948,Ssim 0.9692961027975898,Uqi 0.9983432741481806
Epoch:1170  sam 1.6827019453048706,psnr 35.73408889770508,ergas 0.38011005671093484,cc 0.9880699012931322,rmse 0.012818604557776052,Ssim 0.9694453702682255,Uqi 0.9983568991526759
